week,date,area,obs_counts,exp_counts
314,50058.5988086,237,209,99384.65
315,50065.46200304,328,228,263111.5
316,50072.46061412,484,244,395300.0
317,50079.49325301,252,196,157860.25
318,50086.47171374,318,254,170556.51
319,50094.11268608,243,170,129674.5
320,50100.49046389,167,152,122325.0
321,50107.45921397,244,218,177351.5
322,50114.5015752,127,107,46221.100000000006
323,50121.60504745,176,157,144724.6
324,50128.73490865,197,160,122778.65000000001
325,50135.48143576,213,168,155341.02
326,50142.54601918,489,339,125698.76999999999
327,50149.50851779,262,158,133037.5
328,50156.67449005,246,196,103478.95
329,50163.76893446,273,212,132382.61
330,50170.47935255,337,236,115025.78999999996
331,50177.51269167,252,219,109973.80000000002
332,50184.67033056,173,140,99130.49500000002
333,50191.55852497,284,239,146212.24
334,50198.56477503,209,173,100129.1
335,50205.47449722,261,236,162537.80999999988
336,50212.49880281,294,275,134164.56
337,50219.46824726,172,130,143092.10000000003
338,50226.52171944,154,119,76181.06499999999
339,50233.48491392,344,304,165544.225
340,50240.47071547,206,171,148530.44
341,50247.77727365,169,127,79959.375
342,50254.48213619,232,199,109397.75
343,50261.48838619,154,126,79966.04500000001
344,50268.45991397,210,174,95579.48
345,50275.68630286,63,55,36294.0
346,50282.48560706,122,114,37713.75
347,50289.49742844,57,53,35725.375
348,50299.10578492,73,65,39116.5
349,50303.46963619,129,116,27745.74
350,50310.48421953,21,19,6000.0
351,50317.54864372,99,86,38024.1
352,50324.45991397,96,73,78662.0
353,50331.47081959,170,136,73926.08
354,50338.90296802,85,65,80508.90000000001
355,50345.57866392,154,116,88385.23999999999
356,50352.53560833,121,99,114022.30000000003
357,50359.62449726,164,117,55629.600000000006
358,50366.46408059,99,73,47803.0
359,50373.62102365,302,247,94971.36000000003
360,50380.52449726,186,160,85267.78
361,50391.14602365,8,8,8.200000000000001
362,50395.37171959,56,38,12532.4
363,50401.58491409,66,57,62114.3
364,50408.47727358,90,61,113101.0
365,50415.8369958,115,75,53434.9
366,50422.80088615,102,79,126371.005
367,50430.24324726,18,18,15829.0
368,50437.30227503,124,83,74769.1
369,50443.97519036,124,97,76966.9
370,50450.66408075,153,105,54991.799999999996
371,50457.71683476,96,76,87318.85
372,50464.70294453,87,60,58162.75
373,50471.53905714,128,94,105257.5
374,50478.5064169,138,116,83838.75
375,50485.5418351,111,85,76548.875
376,50492.45833333,0,0,0.0
377,50499.45833333,0,0,0.0
378,50510.46595321,50,43,7298.831528000001
379,50513.49044653,346,313,80209.54299999999
380,50520.47030752,302,268,124789.08060000003
381,50528.07663615,207,166,58881.9
382,50534.49170556,289,252,70236.62170000002
383,50541.4668353,243,213,98740.55300000001
384,50549.7098924,275,255,114482.05600000004
385,50555.54339699,204,190,115779.39605975755
386,50562.87447554,356,297,102224.52858000004
387,50569.45989221,311,262,106405.69416000009
388,50576.49461443,371,309,145734.47928000003
389,50584.05711443,408,351,167252.25928000003
390,50590.49530888,324,277,112574.18465500002
391,50597.56058666,648,505,284512.273874
392,50604.47708742,743,683,387520.3463069996
393,50611.52646238,818,697,420580.20691999973
394,50618.46079109,532,479,215502.59883530007
395,50625.46702677,1127,941,291291.78299
396,50632.49792824,792,729,288401.7964113001
397,50639.50380046,809,721,272108.21973630006
398,50646.49460159,707,606,418625.50161786086
399,50653.48921296,960,846,423484.0349209053
400,50660.55849066,898,798,390878.51535400026
401,50667.46889297,733,685,383413.8105669996
402,50674.48399892,681,607,410991.63421999995
403,50681.47953152,746,590,512085.5026389997
404,50688.48693287,744,585,378895.53577499907
405,50695.66662635,624,571,424580.0024400002
406,50702.49529876,658,597,401270.78011028754
407,50709.49542824,667,609,281686.752600219
408,50716.48873341,589,489,325530.8960960001
409,50723.46749406,874,707,410514.71747259964
410,50730.48395833,670,575,411866.8331644117
411,50737.46750598,858,770,339335.763027999
412,50744.46522601,717,611,299967.37326860026
413,50751.46040043,791,678,488503.59285597433
414,50758.45849186,681,592,393607.3308824921
415,50765.48685185,812,707,356012.5144028034
